Jur Dept,Jurisdictional Dept,PMA NUM,PMA Name,PMA Location Address, PMA Land SqFt ,PMA Classification,PMA Current Use,PMA Future Use If Any,City Ownership,Category,Comment
FAS,Finance & Admin Svcs,4540,Myers Way Parcel B,9501 Myers Way S," 711,204 ",Excess,Vacant (Undeveloped),,Owned,In process,Mayoral direction to keep a portion for expansion of JTF and preserve a portion for future open space and/or recreation use; community engagement on-going.
FAS,Finance & Admin Svcs,4541,Myers Way Parcel C,9701 Myers Way S," 453,228 ",Excess,Vacant (Undeveloped),,Owned,In process,Mayoral direction to keep a portion for expansion of JTF and preserve a portion for future open space and/or recreation use; community engagement on-going.
FAS,Finance & Admin Svcs,4542,Myers Way Parcel D,9600 Myers Way S," 296,507 ",Excess,Vacant (Undeveloped),,Owned,In process,Mayoral direction to keep a portion for expansion of JTF and preserve a portion for future open space and/or recreation use; community engagement on-going.
FAS,Finance & Admin Svcs,158,12 Lots at 8237 44th Ave SW,8237 44th Ave SW," 55,010 ",Excess,Vacant (Undeveloped),,Owned,Difficult building site,Could sell 4 lots to encroaching abuttors with environmental covenant
FAS,Finance & Admin Svcs,22,Parcel at 3401 S Della St,3401 S Della St," 34,760 ",Excess,Green Space/Natural Area,,Owned,Pending Housing Assessment,Evaluate potential for mix of housing and green space.
FAS,Finance & Admin Svcs,145,Greenwood Senior Center,525 N 85th St," 22,056 ",Excess,Senior Services,,Owned,In process,Transfer to PNA; covenant gives City future City housing option
FAS,Finance & Admin Svcs,1648,Parcel at 7328 16th Ave SW,7328 16th Ave SW," 21,977 ",Excess,Drainage (Natural),,Owned,Difficult building site,
FAS,Finance & Admin Svcs,4217,Parcel at 2765 Harbor Ave SW,2765 Harbor Ave SW," 20,112 ",Excess,Green Space/Natural Area,,Owned,Pending Housing Assessment,On Harbor Avenue near Admiral; 1/2 treed; could sell 1/2 for housing - OH informed but no memo yet. Needs rezone.
FAS,Finance & Admin Svcs,110,Old Fire Station 6- SPD,101 23rd Ave S," 19,604 ",Excess,Police Facility,,Owned,In process,OED working with community. Landmark bldg
FAS,Finance & Admin Svcs,60,Parcel at 7018 Lincoln Park Wy SW,7018 Lincoln Park Way SW," 18,197 ",Excess,Vacant (Undeveloped),,Owned,Difficult building site,
FAS,Finance & Admin Svcs,1594,Yakima Ave S Property,1310 Yakima Ave S," 16,476 ",Excess,Vacant (Undeveloped),Potential Housing Site,Owned,In process,Considering housing or other public use
FAS,Finance & Admin Svcs,4522,Parcel at 10612 55th Ave S,10612 55th Ave S," 14,157 ",Excess,Vacant (Undeveloped),,Owned,Potential sale; proceeds to OH,No OH interest due to difficulty of access and zoning; Interior block w/ drive
FAS,Finance & Admin Svcs,1638,51st Pl S  Roadway,6298 51st Pl S," 12,985 ",Excess,Roadway,,Owned,Difficult building site,Used as alley
FAS,Finance & Admin Svcs,4185,Parcel at 911 Aurora Ave N,905 Aurora Ave N," 11,413 ",Excess,Unused (Vacant Improved),,Owned,In Process,"In process. Looking at potential City uses, but steep slopes and busy road limit development potential."
FAS,Finance & Admin Svcs,4318,Parcel at 8617 MLK Jr Way S,8617 Martin Luther King Jr Way S," 10,528 ",Excess,Landscaping,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,72,Chief Sealth Trail- FAS Portion,8499 Martin Luther King Jr Way S," 9,871 ",Excess,Multi-Use Trail,,Owned,Retain for City use,Bike Trail on site
FAS,Finance & Admin Svcs,24,Parcel at 31st Ave S and S Lexington,3924 31st Ave S," 9,506 ",Excess,Roadway,,Owned,Retain for City use,De facto road serves residences
FAS,Finance & Admin Svcs,1649,SW Webster and Dumar Property,1799 SW Webster St," 8,207 ",Excess,Vacant (Undeveloped),,Owned,Difficult building site,
FAS,Finance & Admin Svcs,30,Parcel at 1766 Alki Ave SW,1766 Alki Ave SW," 6,630 ",Excess,Green Space/Natural Area,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,1588,Slope at 2348 Perkins Lane W,2348 Perkins Ln W," 5,764 ",Excess,Slope Protection,,Owned,Difficult building site,Steep slope
FAS,Finance & Admin Svcs,4253,Snippet at 7609 6th Ave NE,7604 Banner Way NE," 5,757 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,1654,Ravine At 9628 Renton Ave S,9628 Renton Ave S," 4,949 ",Excess,Drainage (Natural),,Owned,Difficult building site,
FAS,Finance & Admin Svcs,66,Parcel at 280 NW Market St,280 NW Market St," 4,395 ",Excess,Slope Protection,,Owned,Difficult building site,
FAS,Finance & Admin Svcs,4330,Parcel at 100 MLK Jr Way S,100 Martin Luther King Jr Way," 4,063 ",Excess,Landscaping,,Owned,Potential sale; proceeds to OH,No OH interest due to size
FAS,Finance & Admin Svcs,68,Parcel at 400 NW Market St,400 NW Market St," 3,593 ",Excess,Landscaping,,Owned,Snippet,
FAS,Finance & Admin Svcs,51,Snippet at 1500 W Nickerson St,1500 W Nickerson St," 3,539 ",Excess,Storage (Uncovered),,Owned,Snippet,
FAS,Finance & Admin Svcs,1658,Parcel at 5917 S Hazel St,5917 S Hazel St," 3,327 ",Excess,Vacant (Undeveloped),,Owned,Difficult building site,Interior block w/ drive; sell
FAS,Finance & Admin Svcs,1600,Parcel at 1323 29th Ave S,1323 29th Ave S," 3,300 ",Excess,Vacant (Undeveloped),,Owned,Potential sale; proceeds to OH,No OH interest due to size and encroachment issues.
FAS,Finance & Admin Svcs,82,Parcel at 2298 Sylvan Way SW,2298 Sylvan Way SW," 3,168 ",Excess,Landscaping,,Owned,Potential sale; proceeds to OH,"GMP funds, adj. commercial. No OH interest due to size"
FAS,Finance & Admin Svcs,4054,Parcel at 6th Ave W & W Bertona,527 W Emerson St," 3,056 ",Excess,Green Space/Natural Area,,Owned,Retain for City use,Portion of landscaped street triangle
