,2010,2011,2012,2013,2014,2015
98101,107773.11336164652,132703.95327942498,157079.97097242382,126699.57081545064,149358.7818696884,171310.22576361222
98102,72002.4015009381,73531.4458612492,85958.93992932863,85304.87637362636,91965.21739130435,105835.57133634604
98103,63225.61368814754,63902.91182389421,72251.71717171717,75511.02299762094,81506.91244239631,87750.35487485993
98104,73537.62956286616,124477.49793559042,144427.36030828516,98740.72657743786,95357.50452079566,105370.15706806282
98105,102213.95861601086,93469.4531187445,104023.36297493937,108219.15739268682,118856.95364238412,156283.33333333334
98106,38317.63107235874,38462.821329934144,41367.386831275726,42107.85288270377,45226.52468538238,47907.577174929844
98107,55579.27332782824,58017.26768934222,63852.17391304348,67166.08231707317,76479.82583454282,80406.13496932515
98108,36556.67311411993,36075.95388089861,39156.10034207525,43939.35698447893,44096.42470205851,46664.529472595656
98109,90286.90575479566,104752.64287417535,91456.61375661376,99355.79246624024,110304.91913746632,114990.89159717767
98112,143291.03726082577,154950.16355589763,247756.86090225566,197346.0966542751,227195.65217391303,237467.50448833033
98115,76526.32581167287,78837.02010968923,85272.48868778281,90499.01697944594,99024.01032702238,107765.25781910398
98116,70677.50416265008,76308.82974228982,85358.93599334997,86848.27868852459,96696.50690495533,100103.9603960396
98117,65975.83846680357,70441.5636485132,75153.45052083333,82057.80346820809,89891.95693476884,97701.91713048855
98118,45143.0383761497,44545.77235290632,48716.34893125361,50627.752553916005,55574.4966442953,57246.581196581195
98119,86712.11373284628,87810.79812206574,103611.46788990825,101875.75757575757,111306.16554054055,118899.25803792251
98121,115088.04265041888,107984.34856175973,117691.74560216509,117389.2901618929,124613.38766006984,150288.1731784583
98122,59861.36649249289,62249.96904791383,67039.01996370236,70739.79952830188,83622.96544035675,82142.33385661957
98125,49246.15183074605,49782.638499407985,54976.824034334764,56442.788749251944,60672.57505773672,62260.0110314396
98126,52545.240339302545,55884.17562314201,60408.97867564535,62495.66630552546,66999.57492029756,72347.48201438849
98133,42224.28524482419,42071.838181628606,44295.84828293183,45928.75686470295,48490.92682926829,52193.717768401315
98134,94130.4347826087,83659.25925925926,92441.3043478261,147027.27272727274,171845.2380952381,184243.18181818182
98136,76721.8811052191,78269.8976109215,90312.4,90173.33333333333,105641.08322324966,103782.11068211068
98144,67338.19507748405,62452.4879206578,73488.41059602649,70856.01926163724,79563.62934362935,83018.89469753548
98146,45816.557017543855,44494.86197864195,47543.09831181728,49552.69749518305,53155.64971751413,54737.466063348416
98164,98361.11111111111,109018.01801801802,135670.0,166545.45454545453,151041.66666666666,195710.0
98177,101212.16830026297,104376.53958944281,124234.62414578587,109822.8149829739,126549.94350282486,134104.3046357616
98178,40501.45163163396,39607.11938663746,41558.672376873656,42277.92887029289,45374.29718875502,46339.53261927945
98199,103854.45447623193,128438.77013793829,119138.39009287926,120046.79552390642,133796.29258517033,146736.64047151277
