key,xValue,value
Argentina,1820,0
Argentina,1830,0
Argentina,1840,0
Argentina,1850,0
Argentina,1860,7
Argentina,1870,58
Argentina,1880,64
Argentina,1890,36
Argentina,1900,36
Argentina,1910,36
Argentina,1920,36
Argentina,1930,1397
Argentina,1940,3108
Argentina,1950,16346
Argentina,1960,49384
Argentina,1970,30303
Argentina,1980,23442
Argentina,1990,30065
Argentina,2000,47955
Argentina,2010,4312
Argentina,2011,4335
Argentina,2012,4218
Argentina,2013,4227
Argentina,2014,3757
Argentina,2015,3542
Australia,1820,2
Australia,1830,1
Australia,1840,2
Australia,1850,104
Australia,1860,96
Australia,1870,8933
Australia,1880,7250
Australia,1890,3098
Australia,1900,11191
Australia,1910,11280
Australia,1920,8404
Australia,1930,2260
Australia,1940,11201
Australia,1950,8275
Australia,1960,14986
Australia,1970,18708
Australia,1980,16901
Australia,1990,24288
Australia,2000,32728
Australia,2010,3077
Australia,2011,3062
Australia,2012,3146
Australia,2013,3529
Australia,2014,3582
Australia,2015,3795
Austria,1820,0
Austria,1830,0
Austria,1840,0
Austria,1850,0
Austria,1860,2700
Austria,1870,54529
Austria,1880,204805
Austria,1890,268218
Austria,1900,532416
Austria,1910,589174
Austria,1920,31392
Austria,1930,6678
Austria,1940,8496
Austria,1950,81354
Austria,1960,17571
Austria,1970,14239
Austria,1980,15374
Austria,1990,18234
Austria,2000,21151
Austria,2010,3319
Austria,2011,3654
Austria,2012,2199
Austria,2013,1053
Austria,2014,1088
Austria,2015,1928
Belgium,1820,28
Belgium,1830,20
Belgium,1840,3996
Belgium,1850,5765
Belgium,1860,5785
Belgium,1870,6991
Belgium,1880,18738
Belgium,1890,19642
Belgium,1900,37429
Belgium,1910,32574
Belgium,1920,21511
Belgium,1930,4013
Belgium,1940,12473
Belgium,1950,18885
Belgium,1960,9647
Belgium,1970,5413
Belgium,1980,7028
Belgium,1990,7077
Belgium,2000,8157
Belgium,2010,732
Belgium,2011,700
Belgium,2012,698
Belgium,2013,803
Belgium,2014,775
Belgium,2015,809
Belize,1820,0
Belize,1830,0
Belize,1840,0
Belize,1850,0
Belize,1860,9
Belize,1870,26
Belize,1880,80
Belize,1890,25
Belize,1900,583
Belize,1910,40
Belize,1920,285
Belize,1930,193
Belize,1940,433
Belize,1950,1133
Belize,1960,4185
Belize,1970,6747
Belize,1980,14964
Belize,1990,12600
Belize,2000,9682
Belize,2010,997
Belize,2011,933
Belize,2012,875
Belize,2013,969
Belize,2014,823
Belize,2015,804
Brazil,1820,0
Brazil,1830,0
Brazil,1840,0
Brazil,1850,0
Brazil,1860,32
Brazil,1870,219
Brazil,1880,199
Brazil,1890,92
Brazil,1900,92
Brazil,1910,92
Brazil,1920,4627
Brazil,1930,1468
Brazil,1940,3653
Brazil,1950,11547
Brazil,1960,29238
Brazil,1970,18600
Brazil,1980,22944
Brazil,1990,50744
Brazil,2000,115404
Brazil,2010,12057
Brazil,2011,11643
