,PMA Location Address, PMA Land SqFt ,PMA Classification,Permit Type,buildableSqft,buildable/totalSqft,units_estimate,cost_estimate,all_lowrise_unit_estimate,all_lowrise_cost_estimate,latitude,longitude
0,9501 Myers Way S,"711,204",Excess,6.0,2098051.8,2.9499999999999997,2622.0,356668805.99999994,629.0,356668805.99999994,47.519839,-122.3338659
1,9701 Myers Way S,"453,228",Excess,6.0,1337022.6,2.95,1671.0,227293842.00000003,401.0,227293842.00000003,47.5157123,-122.3319
2,9600 Myers Way S,"296,507",Excess,6.0,874695.65,2.95,1093.0,148698260.5,262.0,148698260.5,47.5145724,-122.3306146
3,8237 44th Ave SW,"55,010",Excess,1.0,19253.5,0.35,10.0,2888025.0,9.0,3273095.0,47.5294768,-122.3896214
4,3401 S Della St,"34,760",Excess,1.0,12166.0,0.35,6.0,1824900.0,6.0,2068220.0,47.5719105,-122.2970008
5,525 N 85th St,"22,056",Excess,7.0,65065.2,2.9499999999999997,81.0,11061084.0,19.0,11061084.0,47.6904087,-122.3510497
6,7328 16th Ave SW,"21,977",Excess,2.0,7691.95,0.35,4.0,1153792.5,3.0,1307631.5,41.96415820000001,-91.7648043
7,2765 Harbor Ave SW,"20,112",Excess,2.0,7039.2,0.35,3.0,1055880.0,3.0,1196664.0,47.577912,-122.3724482
8,101 23rd Ave S,"19,604",Excess,5.0,44109.0,2.25,55.0,7498530.0,22.0,7498530.0,47.6014262,-122.3027015
9,7018 Lincoln Park Way SW,"18,197",Excess,1.0,6368.95,0.35,3.0,955342.5,3.0,1082721.5,39.9245106,-89.1056321
10,1310 Yakima Ave S,"16,476",Excess,3.0,37071.0,2.25,18.0,6302070.0,18.0,6302070.0,47.5918734,-122.2944105
11,10612 55th Ave S,"14,157",Excess,3.0,31853.25,2.25,15.0,5415052.5,15.0,5415052.5,47.5056807,-122.264799
12,6298 51st Pl S,"12,985",Excess,2.0,4544.75,0.35,2.0,681712.5,2.0,772607.5,47.5460804,-122.2685818
13,905 Aurora Ave N,"11,413",Excess,5.0,25679.25,2.25,32.0,4365472.5,12.0,4365472.5,47.6274058,-122.3439427
